,ds,dv,dt,method,acc
188,CIFAR100,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.536073
189,CIFAR100,CIFAR10,UniformNoise,NeuronActivationPatterns/Resnet,0.6428
190,CIFAR100,CIFAR10,NormalNoise,NeuronActivationPatterns/Resnet,0.6428
191,CIFAR100,CIFAR10,MNIST,NeuronActivationPatterns/Resnet,0.64255
192,CIFAR100,CIFAR10,FashionMNIST,NeuronActivationPatterns/Resnet,0.6331
193,CIFAR100,CIFAR10,NotMNIST,NeuronActivationPatterns/Resnet,0.630848
194,CIFAR100,CIFAR10,STL10,NeuronActivationPatterns/Resnet,0.540563
195,CIFAR100,CIFAR10,TinyImagenet,NeuronActivationPatterns/Resnet,0.55445
196,CIFAR100,STL10,UniformNoise,NeuronActivationPatterns/Resnet,0.6261
197,CIFAR100,STL10,NormalNoise,NeuronActivationPatterns/Resnet,0.6261
198,CIFAR100,STL10,MNIST,NeuronActivationPatterns/Resnet,0.62585
199,CIFAR100,STL10,FashionMNIST,NeuronActivationPatterns/Resnet,0.618
200,CIFAR100,STL10,NotMNIST,NeuronActivationPatterns/Resnet,0.61552
201,CIFAR100,STL10,CIFAR10,NeuronActivationPatterns/Resnet,0.52815
202,CIFAR100,STL10,TinyImagenet,NeuronActivationPatterns/Resnet,0.553351
203,CIFAR100,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,0.65485
204,CIFAR100,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,0.65485
205,CIFAR100,TinyImagenet,MNIST,NeuronActivationPatterns/Resnet,0.6545
206,CIFAR100,TinyImagenet,FashionMNIST,NeuronActivationPatterns/Resnet,0.64365
207,CIFAR100,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,0.642544
208,CIFAR100,TinyImagenet,CIFAR10,NeuronActivationPatterns/Resnet,0.5241
209,CIFAR100,TinyImagenet,STL10,NeuronActivationPatterns/Resnet,0.540313
210,STL10,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,0.862125
211,STL10,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,0.8035
212,STL10,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.69975
213,STL10,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.771625
214,STL10,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,0.63925
215,STL10,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,0.613625
216,STL10,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,0.843125
217,STL10,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,0.78125
218,STL10,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.6645
219,STL10,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.762625
220,STL10,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,0.628125
221,STL10,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,0.601875
222,STL10,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.842
223,STL10,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.84825
224,STL10,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.707375
225,STL10,MNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.767625
226,STL10,MNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.64125
227,STL10,MNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.616375
228,STL10,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.822375
229,STL10,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.823375
230,STL10,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,0.797
231,STL10,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.7585
232,STL10,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.64975
233,STL10,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.62
234,STL10,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.85225
235,STL10,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.864375
236,STL10,FashionMNIST,MNIST,NeuronActivationPatterns/Resnet,0.80275
237,STL10,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.698125
238,STL10,FashionMNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.638625
239,STL10,FashionMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.613375
240,STL10,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,0.844125
241,STL10,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,0.846625
242,STL10,CIFAR100,MNIST,NeuronActivationPatterns/Resnet,0.803625
243,STL10,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,0.7075
244,STL10,CIFAR100,FashionMNIST,NeuronActivationPatterns/Resnet,0.76725
245,STL10,CIFAR100,TinyImagenet,NeuronActivationPatterns/Resnet,0.616875
246,STL10,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,0.834
247,STL10,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,0.833875
248,STL10,TinyImagenet,MNIST,NeuronActivationPatterns/Resnet,0.799
249,STL10,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,0.710875
250,STL10,TinyImagenet,FashionMNIST,NeuronActivationPatterns/Resnet,0.762375
251,STL10,TinyImagenet,CIFAR100,NeuronActivationPatterns/Resnet,0.644625
252,TinyImagenet,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,0.86265
253,TinyImagenet,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,0.8979
254,TinyImagenet,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.8777
255,TinyImagenet,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.877804
256,TinyImagenet,UniformNoise,CIFAR10,NeuronActivationPatterns/Resnet,0.8196
257,TinyImagenet,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,0.825055
258,TinyImagenet,UniformNoise,STL10,NeuronActivationPatterns/Resnet,0.607375
259,TinyImagenet,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,0.88025
260,TinyImagenet,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,0.8979
261,TinyImagenet,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.8777
262,TinyImagenet,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.877804
263,TinyImagenet,NormalNoise,CIFAR10,NeuronActivationPatterns/Resnet,0.8196
264,TinyImagenet,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,0.825055
265,TinyImagenet,NormalNoise,STL10,NeuronActivationPatterns/Resnet,0.607375
266,TinyImagenet,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.69765
267,TinyImagenet,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.8564
268,TinyImagenet,MNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.8797
269,TinyImagenet,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.888218
270,TinyImagenet,MNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.80075
271,TinyImagenet,MNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.800055
272,TinyImagenet,MNIST,STL10,NeuronActivationPatterns/Resnet,0.570562
273,TinyImagenet,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.84515
274,TinyImagenet,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.86445
275,TinyImagenet,FashionMNIST,MNIST,NeuronActivationPatterns/Resnet,0.9234
276,TinyImagenet,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.890728
277,TinyImagenet,FashionMNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.8113
278,TinyImagenet,FashionMNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.812582
279,TinyImagenet,FashionMNIST,STL10,NeuronActivationPatterns/Resnet,0.580875
280,TinyImagenet,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.8428
281,TinyImagenet,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.8617
282,TinyImagenet,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,0.9234
