,ds,dv,dt,method,acc
139,MNIST,NotMNIST,TinyImagenet,MCDropout-7/VGG,0.9202999472618103
140,MNIST,CIFAR10,UniformNoise,MCDropout-7/VGG,0.9711499810218811
141,MNIST,CIFAR10,NormalNoise,MCDropout-7/VGG,0.9720999598503113
142,MNIST,CIFAR10,FashionMNIST,MCDropout-7/VGG,0.9380999803543091
143,MNIST,CIFAR10,NotMNIST,MCDropout-7/VGG,0.8331553339958191
144,MNIST,CIFAR10,CIFAR100,MCDropout-7/VGG,0.9223999977111816
145,MNIST,CIFAR10,STL10,MCDropout-7/VGG,0.9510625600814819
146,MNIST,CIFAR10,TinyImagenet,MCDropout-7/VGG,0.9476999640464783
147,MNIST,CIFAR100,UniformNoise,MCDropout-7/VGG,0.9600499868392944
148,MNIST,CIFAR100,NormalNoise,MCDropout-7/VGG,0.9591999650001526
149,MNIST,CIFAR100,FashionMNIST,MCDropout-7/VGG,0.9366499781608582
150,MNIST,CIFAR100,NotMNIST,MCDropout-7/VGG,0.8436765670776367
151,MNIST,CIFAR100,CIFAR10,MCDropout-7/VGG,0.9419999718666077
152,MNIST,CIFAR100,STL10,MCDropout-7/VGG,0.945062518119812
153,MNIST,CIFAR100,TinyImagenet,MCDropout-7/VGG,0.9434999823570251
154,MNIST,STL10,UniformNoise,MCDropout-7/VGG,0.9684499502182007
155,MNIST,STL10,NormalNoise,MCDropout-7/VGG,0.978149950504303
156,MNIST,STL10,FashionMNIST,MCDropout-7/VGG,0.9325000047683716
157,MNIST,STL10,NotMNIST,MCDropout-7/VGG,0.8169194459915161
158,MNIST,STL10,CIFAR10,MCDropout-7/VGG,0.9435999989509583
159,MNIST,STL10,CIFAR100,MCDropout-7/VGG,0.9161999821662903
160,MNIST,STL10,TinyImagenet,MCDropout-7/VGG,0.9465999603271484
161,MNIST,TinyImagenet,UniformNoise,MCDropout-7/VGG,0.9706999659538269
162,MNIST,TinyImagenet,NormalNoise,MCDropout-7/VGG,0.9745000004768372
163,MNIST,TinyImagenet,FashionMNIST,MCDropout-7/VGG,0.9360499978065491
164,MNIST,TinyImagenet,NotMNIST,MCDropout-7/VGG,0.8309655785560608
165,MNIST,TinyImagenet,CIFAR10,MCDropout-7/VGG,0.9446499943733215
166,MNIST,TinyImagenet,CIFAR100,MCDropout-7/VGG,0.9212499856948853
167,MNIST,TinyImagenet,STL10,MCDropout-7/VGG,0.9518750309944153
168,MNIST,UniformNoise,NormalNoise,MCDropout-7/MNIST_Simple,0.7636500000953674
169,MNIST,UniformNoise,FashionMNIST,MCDropout-7/MNIST_Simple,0.8206499814987183
170,MNIST,UniformNoise,NotMNIST,MCDropout-7/MNIST_Simple,0.806291401386261
171,MNIST,UniformNoise,CIFAR10,MCDropout-7/MNIST_Simple,0.8215499520301819
172,MNIST,UniformNoise,CIFAR100,MCDropout-7/MNIST_Simple,0.8197499513626099
173,MNIST,UniformNoise,STL10,MCDropout-7/MNIST_Simple,0.8165000677108765
174,MNIST,UniformNoise,TinyImagenet,MCDropout-7/MNIST_Simple,0.8224499821662903
175,MNIST,NormalNoise,UniformNoise,MCDropout-7/MNIST_Simple,0.6233999729156494
176,MNIST,NormalNoise,FashionMNIST,MCDropout-7/MNIST_Simple,0.8723999857902527
177,MNIST,NormalNoise,NotMNIST,MCDropout-7/MNIST_Simple,0.8470412492752075
178,MNIST,NormalNoise,CIFAR10,MCDropout-7/MNIST_Simple,0.875499963760376
179,MNIST,NormalNoise,CIFAR100,MCDropout-7/MNIST_Simple,0.8746999502182007
180,MNIST,NormalNoise,STL10,MCDropout-7/MNIST_Simple,0.870062530040741
181,MNIST,NormalNoise,TinyImagenet,MCDropout-7/MNIST_Simple,0.8779499530792236
182,MNIST,FashionMNIST,UniformNoise,MCDropout-7/MNIST_Simple,0.5512999892234802
183,MNIST,FashionMNIST,NormalNoise,MCDropout-7/MNIST_Simple,0.6035499572753906
184,MNIST,FashionMNIST,NotMNIST,MCDropout-7/MNIST_Simple,0.8704870939254761
185,MNIST,FashionMNIST,CIFAR10,MCDropout-7/MNIST_Simple,0.9671499729156494
186,MNIST,FashionMNIST,CIFAR100,MCDropout-7/MNIST_Simple,0.9660499691963196
187,MNIST,FashionMNIST,STL10,MCDropout-7/MNIST_Simple,0.963687539100647
188,MNIST,FashionMNIST,TinyImagenet,MCDropout-7/MNIST_Simple,0.9657999873161316
189,MNIST,NotMNIST,UniformNoise,MCDropout-7/MNIST_Simple,0.5829499959945679
190,MNIST,NotMNIST,NormalNoise,MCDropout-7/MNIST_Simple,0.684249997138977
191,MNIST,NotMNIST,FashionMNIST,MCDropout-7/MNIST_Simple,0.9239999651908875
192,MNIST,NotMNIST,CIFAR10,MCDropout-7/MNIST_Simple,0.9368999600410461
193,MNIST,NotMNIST,CIFAR100,MCDropout-7/MNIST_Simple,0.9398499727249146
194,MNIST,NotMNIST,STL10,MCDropout-7/MNIST_Simple,0.9333125352859497
195,MNIST,NotMNIST,TinyImagenet,MCDropout-7/MNIST_Simple,0.9375499486923218
196,MNIST,CIFAR10,UniformNoise,MCDropout-7/MNIST_Simple,0.4969500005245209
197,MNIST,CIFAR10,NormalNoise,MCDropout-7/MNIST_Simple,0.49904999136924744
198,MNIST,CIFAR10,FashionMNIST,MCDropout-7/MNIST_Simple,0.8506999611854553
199,MNIST,CIFAR10,NotMNIST,MCDropout-7/MNIST_Simple,0.7530442476272583
200,MNIST,CIFAR10,CIFAR100,MCDropout-7/MNIST_Simple,0.9850999712944031
201,MNIST,CIFAR10,STL10,MCDropout-7/MNIST_Simple,0.979437530040741
202,MNIST,CIFAR10,TinyImagenet,MCDropout-7/MNIST_Simple,0.9788999557495117
203,MNIST,CIFAR100,UniformNoise,MCDropout-7/MNIST_Simple,0.49674999713897705
204,MNIST,CIFAR100,NormalNoise,MCDropout-7/MNIST_Simple,0.4980499744415283
205,MNIST,CIFAR100,FashionMNIST,MCDropout-7/MNIST_Simple,0.8550499677658081
206,MNIST,CIFAR100,NotMNIST,MCDropout-7/MNIST_Simple,0.7596667408943176
207,MNIST,CIFAR100,CIFAR10,MCDropout-7/MNIST_Simple,0.9850999712944031
208,MNIST,CIFAR100,STL10,MCDropout-7/MNIST_Simple,0.9801250696182251
209,MNIST,CIFAR100,TinyImagenet,MCDropout-7/MNIST_Simple,0.9783499836921692
210,MNIST,STL10,UniformNoise,MCDropout-7/MNIST_Simple,0.5069000124931335
211,MNIST,STL10,NormalNoise,MCDropout-7/MNIST_Simple,0.5090000033378601
212,MNIST,STL10,FashionMNIST,MCDropout-7/MNIST_Simple,0.880899965763092
213,MNIST,STL10,NotMNIST,MCDropout-7/MNIST_Simple,0.7944349646568298
214,MNIST,STL10,CIFAR10,MCDropout-7/MNIST_Simple,0.9856500029563904
215,MNIST,STL10,CIFAR100,MCDropout-7/MNIST_Simple,0.9846999645233154
216,MNIST,STL10,TinyImagenet,MCDropout-7/MNIST_Simple,0.979949951171875
217,MNIST,TinyImagenet,UniformNoise,MCDropout-7/MNIST_Simple,0.5005499720573425
218,MNIST,TinyImagenet,NormalNoise,MCDropout-7/MNIST_Simple,0.5051000118255615
219,MNIST,TinyImagenet,FashionMNIST,MCDropout-7/MNIST_Simple,0.8734999895095825
220,MNIST,TinyImagenet,NotMNIST,MCDropout-7/MNIST_Simple,0.785889744758606
221,MNIST,TinyImagenet,CIFAR10,MCDropout-7/MNIST_Simple,0.9853499531745911
